Rooms,Bathrooms,ProprietyType,District,AverageSellPrice,AverageRentPrice
1,2,Apartament, Setúbal,292806.0,691.6666666666666
2,1,Apartament, Setúbal,137802.81686478455,1085.688775510204
2,2,Apartament, Setúbal,227090.15037593985,843.1388888888889
3,1,Apartament, Setúbal,141887.0182555781,723.4285714285714
3,2,Apartament, Setúbal,218881.22119023048,886.7272727272727
3,3,Apartament, Setúbal,358790.1913357401,1186.0
4,1,Apartament, Setúbal,197396.66666666666,883.3333333333334
4,2,Apartament, Setúbal,273298.3984375,987.7777777777778
4,3,Apartament, Setúbal,382052.6148409894,1990.0
0,1,House, Setúbal,116500.0,323.3333333333333
0,2,House, Setúbal,245000.0,900.0
1,1,House, Setúbal,117016.66666666667,582.6923076923077
1,2,House, Setúbal,130875.0,780.0
2,1,House, Setúbal,159678.46889952154,752.1428571428571
2,2,House, Setúbal,218281.05263157896,665.0
2,4,House, Setúbal,546809.5238095238,2000.0
3,1,House, Setúbal,212595.0485436893,925.0
3,2,House, Setúbal,284835.29206349206,1448.6666666666667
3,3,House, Setúbal,327677.95952380955,2016.6666666666667
3,4,House, Setúbal,405426.25498007966,1850.0
4,1,House, Setúbal,257354.13513513515,485.0
4,2,House, Setúbal,328559.56375838927,1000.0
4,3,House, Setúbal,386596.10408326663,2205.5555555555557
4,4,House, Setúbal,443988.8279773157,2050.0
5,1,House, Setúbal,189980.0,950.0
5,2,House, Setúbal,351176.70454545453,1625.0
5,3,House, Setúbal,384004.2732558139,2112.5
5,4,House, Setúbal,453906.97122302157,3090.0
6,2,House, Setúbal,254504.54545454544,2000.0
8,4,House, Setúbal,357400.0,2750.0
0,1,Apartament, Viana do Castelo,90316.66666666667,362.0
1,1,Apartament, Viana do Castelo,122878.48101265823,405.0
2,1,Apartament, Viana do Castelo,129838.25503355704,421.5625
2,2,Apartament, Viana do Castelo,163615.55555555556,630.0
3,1,Apartament, Viana do Castelo,134725.0,650.0
3,2,Apartament, Viana do Castelo,168391.47601476015,596.0
4,2,Apartament, Viana do Castelo,207531.25,575.0
4,3,Apartament, Viana do Castelo,313625.0,675.0
1,1,House, Viana do Castelo,75697.72727272728,500.0
2,1,House, Viana do Castelo,99039.13043478261,365.0
2,2,House, Viana do Castelo,153415.09433962265,800.0
3,1,House, Viana do Castelo,121282.55813953489,550.0
3,2,House, Viana do Castelo,205494.7594501718,400.0
3,3,House, Viana do Castelo,271280.25,800.0
3,4,House, Viana do Castelo,328972.85714285716,850.0
4,3,House, Viana do Castelo,291752.0994475138,875.0
1,1,Apartament, Vila Real,78961.53846153847,367.14285714285717
2,1,Apartament, Vila Real,113291.66666666667,462.5
3,1,Apartament, Vila Real,107980.0,331.42857142857144
3,2,Apartament, Vila Real,136827.9245283019,552.2222222222222
4,2,Apartament, Vila Real,140909.0909090909,550.0
4,3,Apartament, Vila Real,240416.66666666666,700.0
1,1,House, Vila Real,43757.142857142855,300.0
2,1,House, Vila Real,55093.604651162794,350.0
3,1,House, Vila Real,71164.0,200.0
3,2,House, Vila Real,122659.68253968254,650.0
3,3,House, Vila Real,198661.4,1000.0
4,3,House, Vila Real,208678.57142857142,650.0
4,4,House, Vila Real,285000.0,1250.0
0,1,Apartament, Viseu,102500.0,316.6666666666667
1,1,Apartament, Viseu,124211.68831168831,437.14285714285717
2,1,Apartament, Viseu,117681.81818181818,435.90909090909093
2,2,Apartament, Viseu,166912.3670886076,557.5
2,3,Apartament, Viseu,222954.54545454544,675.0
3,1,Apartament, Viseu,84406.25,483.3333333333333
3,2,Apartament, Viseu,146216.89814814815,521.9444444444445
3,3,Apartament, Viseu,220039.77272727274,800.0
4,1,Apartament, Viseu,96300.0,550.0
4,2,Apartament, Viseu,157288.46153846153,247.5
5,2,Apartament, Viseu,145000.0,425.0
5,3,Apartament, Viseu,258000.0,400.0
1,1,House, Viseu,40460.416666666664,365.0
2,1,House, Viseu,53884.06015037594,331.6666666666667
2,2,House, Viseu,87134.88372093023,362.5
3,1,House, Viseu,69100.27272727272,270.0
3,2,House, Viseu,132733.7606837607,548.3333333333334
4,3,House, Viseu,239237.19512195123,750.0
4,4,House, Viseu,293747.36842105264,1250.0
5,3,House, Viseu,172703.7037037037,3250.0
1,1,Apartament, Évora,66727.27272727272,475.0
2,1,Apartament, Évora,91748.70175438597,460.0
2,2,Apartament, Évora,83962.5,597.5
3,2,Apartament, Évora,122172.0,645.0
0,1,House, Évora,93750.0,270.0
1,1,House, Évora,59455.645161290326,12383.333333333334
2,1,House, Évora,74966.0632183908,383.3333333333333
2,2,House, Évora,147480.79365079364,812.5
3,1,House, Évora,84606.15384615384,300.0
3,2,House, Évora,179616.19626168226,825.0
3,3,House, Évora,207443.95833333334,100.0
4,1,House, Évora,130629.41176470589,775.0
