Location;HM;H;M
031258: União das freguesias de Seide;1520;738;782
031259: União das freguesias de Vale (São Cosme), Telhado e Portela;5247;2565;2682
031260: União das freguesias de Vila Nova de Famalicão e Calendário;20937;9909;11028
031241: Vale (São Martinho);2040;1003;1037
031247: Vermoim;2955;1432;1523
031249: Vilarinho das Cambas;1486;792;694
0314: Vizela;23903;11626;12277
031404: Infias;1812;896;916
031401: Santa Eulália;5387;2632;2755
031408: União das freguesias de Caldas de Vizela (São Miguel e São João);11076;5282;5794
031409: União das freguesias de Tagilde e Vizela (São Paio);3362;1674;1688
031406: Vizela (Santo Adrião);2266;1142;1124
11A: Área Metropolitana do Porto;1737395;822230;915165
0104: Arouca;21154;10160;10994
010402: Alvarenga;1058;518;540
010407: Chave;1269;608;661
010409: Escariz;2113;1048;1065
010411: Fermedo;1262;601;661
010413: Mansores;1099;537;562
010414: Moldes;1125;527;598
010415: Rossas;1491;730;761
010416: Santa Eulália;2121;1030;1091
010417: São Miguel do Mato;550;268;282
010418: Tropeço;1086;513;573
010421: União das freguesias de Arouca e Burgo;5122;2397;2725
010422: União das freguesias de Cabreiros e Albergaria da Serra;185;84;101
010423: União das freguesias de Canelas e Espiunca;1068;516;552
010424: União das freguesias de Covelo de Paivó e Janarde;170;75;95
010419: Urrô;901;462;439
010420: Várzea;534;246;288
0107: Espinho;31027;14450;16577
010702: Espinho;10418;4691;5727
010704: Paramos;3120;1513;1607
010705: Silvalde;6106;2916;3190
010706: União das freguesias de Anta e Guetim;11383;5330;6053
1304: Gondomar;164255;77927;86328
130412: Baguim do Monte (Rio Tinto);14366;6750;7616
130405: Lomba;1274;609;665
130408: Rio Tinto;51064;23828;27236
130413: União das freguesias de Fânzeres e São Pedro da Cova;37777;18114;19663
130414: União das freguesias de Foz do Sousa e Covelo;7041;3398;3643
130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;47439;22615;24824
130416: União das freguesias de Melres e Medas;5294;2613;2681
1306: Maia;134959;64067;70892
130601: Águas Santas;26619;12590;14029
130618: Castêlo da Maia;18578;8858;9720
130619: Cidade da Maia;40515;19093;21422
130603: Folgosa;3601;1768;1833
130608: Milheirós;4759;2292;2467
130609: Moreira;13092;6269;6823
130620: Nogueira e Silva Escura;8396;4029;4367
130617: Pedrouços;11572;5371;6201
130613: São Pedro Fins;1820;895;925
130616: Vila Nova da Telha;6007;2902;3105
1308: Matosinhos;172669;81230;91439
130811: União das freguesias de Custóias, Leça do Balio e Guifões;44024;21252;22772
130812: União das freguesias de Matosinhos e Leça da Palmeira;49088;22726;26362
130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;29678;14184;15494
130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;49879;23068;26811
0113: Oliveira de Azeméis;66212;32004;34208
011301: Carregosa;3466;1686;1780
011302: Cesar;3074;1491;1583
011303: Fajões;2900;1392;1508
011304: Loureiro;3638;1796;1842
011305: Macieira de Sarnes;1860;901;959
011310: Ossela;1919;918;1001
011315: São Martinho da Gândara;1854;898;956
011318: São Roque;5021;2457;2564
011320: União das freguesias de Nogueira do Cravo e Pindelo;5106;2481;2625
